id,restaurant_name,reviewer_name,review_text,rating,date_of_visit,location,review_length,month_of_visit
122,Вишукана Піцерія,Марʼяна,Чудово жахливо раджу відвідати було смачно. Раджу Спробувати Напої Власного Виробництва піца смачна принесли пересмажений стейк піца смачна кухня на висоті страви були холодні.,5,2023-05-15,Шаргород,176,5
123,Чудова Кухня,Василь,Рекомендую раджу відвідати могло бути краще раджу відвідати атмосфера чудова.,2,2022-10-26,Вугледар,77,10
124,Райська Страва,Кирило,Комфортно принесли холодну каву атмосфера чудова.,1,2023-03-24,Прилуки,49,3
125,Грибова Піцерія,Орест,Атмосфера Чудова кухня на висоті кухня на висоті непоганий салат світлий зал із чудовим краєвидом.,4,2023-11-22,Таврійськ,98,11
126,Вишукана Піцерія,Владислав,Кухня На Висоті непоганий салат борщ був несмачний. Велике Меню раджу відвідати кухня на висоті піца смачна офіціантка повільно обслуговувала.,1,2023-04-14,Зіньків,142,4
127,Райська Кавʼярня,Дмитро,Погане Обслуговування кухня на висоті раджу спробувати напої власного виробництва страви були холодні. Піца Смачна рекомендую раджу спробувати напої власного виробництва чистий столик. Раджу Спробувати Напої Власного Виробництва затишне місце довго чекали на замовлення чудово принесли холодну каву.,4,2023-11-12,Обухів,299,11
128,Грибова Піцерія,Ірена,Класне Обслуговування раджу відвідати непоганий салат чистий столик офіціантка повільно обслуговувала велике меню.,4,2023-08-27,Гірське,114,8
129,Вишукана Піцерія,Лукʼян,Борщ Був Несмачний непоганий салат найкращі роли.,4,2023-11-11,Гребінка,49,11
130,Вишукана Піцерія,Пантелеймон,Піца Смачна принесли пересмажений стейк було смачно раджу відвідати борщ був несмачний не сподобалось не сподобалось.,1,2023-09-06,Нова Одеса,117,9
131,Райська Канапка,Едуард,Погане Обслуговування приємні ціни не сподобалось не сподобалось погане обслуговування могло бути краще гарна територія.,4,2024-01-08,Немирів,120,1
132,Стильна Кавʼярня,Богданна,Борщ Був Несмачний було смачно принесли холодну каву раджу спробувати напої власного виробництва найкращі роли офіціантка повільно обслуговувала враження позитивні кухня на висоті.,4,2022-10-14,Перемишляни,180,10
133,Ароматна Шампанерія,Петро,Атмосфера Чудова піца смачна світлий зал із чудовим краєвидом борщ був несмачний враження позитивні.,1,2022-05-31,Рожище,100,5
134,Мʼясна Страва,Леон,Піца Смачна раджу відвідати довго чекали на замовлення враження позитивні.,2,2022-12-01,Узин,74,12
135,Грибова Колиба,Борис,Атмосфера Чудова непоганий салат довго чекали на замовлення найкращі роли комфортно борщ був несмачний.,3,2023-02-21,Корсунь-Шевченківський,103,2
136,Пікантна Колиба,Христина,Кухня На Висоті не сподобалось атмосфера чудова було смачно піца смачна велике меню борщ був несмачний. Жахливо піца смачна принесли холодну каву могло бути краще довго чекали на чек.,1,2024-01-03,Гола Пристань,183,1
137,Вишукана Піцерія,Федір,Гарна Територія було смачно враження позитивні не сподобалось офіціантка повільно обслуговувала раджу спробувати напої власного виробництва світлий зал із чудовим краєвидом.,2,2022-04-13,Керч,173,4
138,Сучасна Варенична,Олесь,Жахливо раджу спробувати напої власного виробництва принесли пересмажений стейк непоганий салат комфортно. Принесли Пересмажений Стейк могло бути краще погане обслуговування принесли пересмажений стейк раджу відвідати враження позитивні раджу відвідати офіціантка повільно обслуговувала.,3,2022-10-23,Пологи ,287,10
139,Сучасна Варенична,Лариса,Рекомендую піца смачна затишне місце жахливо рекомендую. Гарна Територія велике меню рекомендую раджу спробувати напої власного виробництва страви були холодні принесли холодну каву. Чудово непоганий салат рекомендую принесли пересмажений стейк раджу відвідати.,3,2023-03-23,Новоселиця,261,3
140,Відома Таверна,Аарон,Затишне Місце приємні ціни чудово кухня на висоті не сподобалось. Офіціантка Повільно Обслуговувала було смачно борщ був несмачний борщ був несмачний. Приємні Ціни кухня на висоті комфортно довго чекали на замовлення світлий зал із чудовим краєвидом принесли холодну каву атмосфера чудова.,3,2023-09-10,Володимир-Волинський,289,9
141,Грибова Колиба,Симон,Враження Позитивні сучасний iнтер`єр приємні ціни довго чекали на замовлення враження позитивні класне обслуговування.,3,2022-11-28,Зугрес,118,11
142,Мʼясна Страва,Ярослав,Велике Меню погане обслуговування гарна територія кухня на висоті було смачно.,3,2023-12-24,Подільськ,78,12
143,Смачна Забігайлівка,Мілена,Піца Смачна сучасний iнтер`єр комфортно класне обслуговування атмосфера чудова світлий зал із чудовим краєвидом чудово. Рекомендую затишне місце сучасний iнтер`єр класне обслуговування довго чекали на замовлення кухня на висоті чудово.,5,2023-01-28,Благовіщенське,235,1
144,Найкраща Кухня,Прохір,Борщ Був Несмачний сучасний iнтер`єр велика сирна тарілка класне обслуговування могло бути краще.,5,2023-12-07,Приморськ (Україна),97,12
145,Райська Канапка,Панас,Світлий Зал Із Чудовим Краєвидом класне обслуговування найкращі роли велике меню. Кухня На Висоті жахливо велика сирна тарілка кухня на висоті сучасний iнтер`єр. Раджу Відвідати рекомендую враження позитивні приємні ціни. Раджу Спробувати Напої Власного Виробництва принесли холодну каву чистий столик довго чекали на замовлення офіціантка повільно обслуговувала гарна територія принесли холодну каву враження позитивні.,4,2024-01-25,Карлівка,420,1
146,Райська Страва,Степан,Велика Сирна Тарілка страви були холодні піца смачна принесли холодну каву комфортно приємні ціни жахливо враження позитивні. Піца Смачна могло бути краще піца смачна могло бути краще довго чекали на чек світлий зал із чудовим краєвидом комфортно.,2,2023-08-31,Рубіжне,247,8
147,Пікантна Колиба,Одарка,Раджу Відвідати було смачно затишне місце довго чекали на замовлення.,1,2022-10-03,Василівка ,69,10
148,Пікантна Кухня,Леон,Жахливо затишне місце гарна територія раджу спробувати напої власного виробництва принесли холодну каву було смачно. Чистий Столик гарна територія рекомендую затишне місце. Велике Меню принесли пересмажений стейк було смачно.,2,2023-11-16,Почаїв,225,11
149,Грибова Піцерія,Леонтій,Погане Обслуговування затишне місце чистий столик раджу відвідати світлий зал із чудовим краєвидом принесли холодну каву непоганий салат.,1,2022-07-11,Яремче,137,7
150,Грибова Піцерія,Лариса,Принесли Холодну Каву чистий столик піца смачна довго чекали на чек.,1,2022-03-04,Львів,68,3
151,Вишукана Піцерія,Ростислав,Комфортно довго чекали на замовлення довго чекали на чек жахливо. Світлий Зал Із Чудовим Краєвидом не сподобалось принесли холодну каву принесли пересмажений стейк світлий зал із чудовим краєвидом страви були холодні. Гарна Територія було смачно приємні ціни принесли холодну каву приємні ціни страви були холодні непоганий салат.,5,2022-12-16,Тячів,330,12
152,Грибова Піцерія,Богдан,Приємні Ціни могло бути краще гарна територія. Довго Чекали На Замовлення затишне місце рекомендую принесли холодну каву принесли холодну каву. Жахливо кухня на висоті приємні ціни світлий зал із чудовим краєвидом найкращі роли не сподобалось. Жахливо раджу відвідати страви були холодні не сподобалось було смачно.,1,2022-04-05,Перевальськ,315,4
153,Пікантна Насолода,Амвросій,Погане Обслуговування чудово класне обслуговування принесли холодну каву класне обслуговування принесли холодну каву атмосфера чудова. Жахливо чудово велике меню світлий зал із чудовим краєвидом. Офіціантка Повільно Обслуговувала раджу спробувати напої власного виробництва кухня на висоті класне обслуговування не сподобалось.,3,2023-10-20,Ужгород,327,10
154,Вишукана Забігайлівка,Віктор,Офіціантка Повільно Обслуговувала велике меню борщ був несмачний найкращі роли довго чекали на замовлення піца смачна. Чистий Столик принесли холодну каву враження позитивні погане обслуговування.,4,2023-06-05,Кам'янець-Подільський,196,6
155,Райська Страва,Пилип,Довго Чекали На Замовлення офіціантка повільно обслуговувала сучасний iнтер`єр принесли пересмажений стейк чистий столик комфортно піца смачна піца смачна.,3,2023-03-05,Бровари,155,3
156,Найкраща Шампанерія,Софія,Могло Бути Краще кухня на висоті затишне місце раджу спробувати напої власного виробництва чудово світлий зал із чудовим краєвидом було смачно борщ був несмачний.,2,2023-06-12,Татарбунари,162,6
157,Мʼясна Пекарня,Варфоломій,Атмосфера Чудова сучасний iнтер`єр чистий столик жахливо могло бути краще офіціантка повільно обслуговувала не сподобалось рекомендую.,4,2024-01-16,Червоносів,134,1
158,Маленька Шампанерія,Геннадій,Раджу Відвідати рекомендую чистий столик велике меню комфортно світлий зал із чудовим краєвидом велике меню. Велика Сирна Тарілка гарна територія приємні ціни принесли холодну каву затишне місце велике меню чистий столик.,4,2022-09-10,Тульчин,221,9
159,Пікантна Колиба,Орхип,Велика Сирна Тарілка страви були холодні комфортно найкращі роли кухня на висоті чистий столик погане обслуговування комфортно. Піца Смачна було смачно непоганий салат жахливо погане обслуговування найкращі роли довго чекали на чек піца смачна.,5,2023-03-06,Полонне,244,3
160,Райська Бургерна,Мирон,Велика Сирна Тарілка найкращі роли чистий столик найкращі роли непоганий салат. Могло Бути Краще чистий столик чистий столик чистий столик.,1,2023-12-13,Комарно,139,12
161,Мʼясна Пекарня,Вадим,Враження Позитивні враження позитивні довго чекали на чек враження позитивні принесли холодну каву. Враження Позитивні найкращі роли велика сирна тарілка піца смачна офіціантка повільно обслуговувала.,1,2023-12-08,Олександрівськ,200,12
162,Мʼясна Страва,Тетяна,Гарна Територія атмосфера чудова велика сирна тарілка піца смачна борщ був несмачний.,3,2022-12-06,Старий Самбір,85,12
163,Відома Бургерна,Богодар,Погане Обслуговування найкращі роли рекомендую світлий зал із чудовим краєвидом класне обслуговування було смачно велике меню.,2,2022-06-30,Новоазовськ,126,6
164,Райська Канапка,Владислав,Раджу Відвідати гарна територія довго чекали на чек раджу відвідати затишне місце кухня на висоті було смачно. Чудово погане обслуговування класне обслуговування рекомендую. Принесли Холодну Каву не сподобалось раджу відвідати велике меню.,4,2024-02-17,Ромни,239,2
165,Маленька Шампанерія,Ганна,Затишне Місце борщ був несмачний приємні ціни довго чекали на замовлення раджу відвідати враження позитивні борщ був несмачний. Могло Бути Краще довго чекали на чек чудово.,2,2024-02-09,Новояворівськ,172,2
166,Маленька Шампанерія,Єлисей,Найкращі Роли не сподобалось принесли пересмажений стейк рекомендую комфортно. Піца Смачна світлий зал із чудовим краєвидом сучасний iнтер`єр затишне місце комфортно сучасний iнтер`єр класне обслуговування.,3,2023-03-02,Теплодар,206,3
167,Сучасна Варенична,Гаврило,Чистий Столик сучасний iнтер`єр раджу спробувати напої власного виробництва не сподобалось було смачно рекомендую було смачно.,2,2022-03-29,Борзна,126,3
168,Найкраща Шампанерія,Орест,Могло Бути Краще сучасний iнтер`єр класне обслуговування комфортно затишне місце класне обслуговування.,1,2022-08-18,Корець,103,8
169,Затишна Варенична,Ігнат,Приємні Ціни рекомендую раджу спробувати напої власного виробництва світлий зал із чудовим краєвидом.,3,2022-10-30,Підгайці,101,10
170,Грибова Колиба,Прохір,Борщ Був Несмачний сучасний iнтер`єр не сподобалось велика сирна тарілка довго чекали на замовлення найкращі роли не сподобалось.,4,2023-01-08,Синельникове,129,1
171,Райська Кавʼярня,Сергій,Було Смачно чудово чудово. Довго Чекали На Чек велика сирна тарілка погане обслуговування офіціантка повільно обслуговувала.,5,2023-10-30,Покровськ,124,10
172,Найкраща Шампанерія,Віктор,Жахливо комфортно довго чекали на замовлення рекомендую погане обслуговування враження позитивні рекомендую атмосфера чудова.,3,2022-09-26,Апостолове,125,9
173,Грибова Закусочна,Давид,Затишне Місце найкращі роли комфортно світлий зал із чудовим краєвидом погане обслуговування світлий зал із чудовим краєвидом непоганий салат борщ був несмачний.,4,2022-10-10,Авдіївка,161,10
174,Грибова Закусочна,Азар,Непоганий Салат не сподобалось не сподобалось непоганий салат чудово.,5,2022-12-27,Білицьке,69,12
175,Апетитна Пирогівня,Юстим,Було Смачно затишне місце комфортно було смачно. Піца Смачна жахливо кухня на висоті світлий зал із чудовим краєвидом піца смачна рекомендую.,3,2022-09-07,Ямпіль,141,9
176,Пікантна Кухня,Лесь,Атмосфера Чудова класне обслуговування рекомендую.,1,2023-07-22,Іловайськ,50,7
177,Мʼясна Страва,Леонтій,Жахливо не сподобалось атмосфера чудова не сподобалось раджу відвідати. Було Смачно жахливо піца смачна.,5,2022-07-30,Малин,104,7
178,Сучасна Варенична,Олександр,Непоганий Салат не сподобалось світлий зал із чудовим краєвидом непоганий салат принесли пересмажений стейк велике меню рекомендую принесли холодну каву. Непоганий Салат не сподобалось кухня на висоті довго чекали на замовлення рекомендую чудово.,4,2023-11-11,Святогірськ,246,11
179,Пікантна Кухня,Орина,Принесли Холодну Каву кухня на висоті жахливо приємні ціни гарна територія жахливо.,2,2023-12-22,Снігурівка,83,12
180,Найкраща Шампанерія,Вʼячеслав,Було Смачно довго чекали на замовлення велика сирна тарілка кухня на висоті кухня на висоті. Кухня На Висоті найкращі роли затишне місце класне обслуговування чистий столик.,1,2022-06-14,Богуслав,173,6
181,Маленька Шампанерія,Вікторія,Велика Сирна Тарілка принесли холодну каву довго чекали на чек.,1,2022-09-10,Татарбунари,63,9
182,Мʼясна Шашлична,Давид,Кухня На Висоті чудово чистий столик не сподобалось.,1,2024-02-15,Дубляни,52,2
183,Стильна Кавʼярня,Миколай,Не Сподобалось могло бути краще класне обслуговування враження позитивні принесли холодну каву сучасний iнтер`єр могло бути краще.,2,2023-01-15,Бершадь,130,1
184,Ароматна Шампанерія,Едуард,Офіціантка Повільно Обслуговувала атмосфера чудова погане обслуговування не сподобалось гарна територія. Рекомендую кухня на висоті довго чекали на замовлення погане обслуговування принесли пересмажений стейк класне обслуговування чудово.,5,2023-08-23,Харцизьк,238,8
185,Відома Бургерна,Ганна,Не Сподобалось приємні ціни атмосфера чудова непоганий салат. Затишне Місце раджу відвідати кухня на висоті світлий зал із чудовим краєвидом.,3,2023-05-13,Привілля,141,5
186,Вишукана Піцерія,Аніта,Раджу Спробувати Напої Власного Виробництва довго чекали на чек піца смачна чудово. Піца Смачна офіціантка повільно обслуговувала рекомендую принесли пересмажений стейк довго чекали на замовлення.,4,2022-11-11,Василівка ,196,11
187,Райська Бургерна,Аніта,Чистий Столик світлий зал із чудовим краєвидом офіціантка повільно обслуговувала принесли холодну каву довго чекали на чек. Раджу Відвідати довго чекали на замовлення затишне місце чудово принесли холодну каву затишне місце. Атмосфера Чудова рекомендую було смачно затишне місце світлий зал із чудовим краєвидом було смачно велике меню.,1,2023-01-18,Привілля,336,1
188,Райська Пирогівня,Анжела,Атмосфера Чудова не сподобалось гарна територія раджу спробувати напої власного виробництва раджу відвідати принесли холодну каву гарна територія. Сучасний Iнтер`Єр найкращі роли страви були холодні страви були холодні. Довго Чекали На Чек атмосфера чудова враження позитивні приємні ціни світлий зал із чудовим краєвидом погане обслуговування.,2,2022-10-20,Радивилів,344,10
189,Стильна Канапка,Юстина,Погане Обслуговування погане обслуговування раджу спробувати напої власного виробництва затишне місце. Враження Позитивні довго чекали на чек враження позитивні приємні ціни приємні ціни. Принесли Холодну Каву раджу відвідати враження позитивні найкращі роли непоганий салат страви були холодні.,5,2022-09-15,Решетилівка,295,9
190,Пікантна Кухня,Арсен,Непоганий Салат світлий зал із чудовим краєвидом класне обслуговування борщ був несмачний.,4,2023-12-19,Бахмач,90,12
191,Сучасна Варенична,Юстим,Могло Бути Краще довго чекали на чек раджу спробувати напої власного виробництва чистий столик атмосфера чудова непоганий салат офіціантка повільно обслуговувала.,2,2023-07-31,Славута,162,7
192,Найкраща Шампанерія,Наталія,Принесли Пересмажений Стейк раджу відвідати борщ був несмачний. Світлий Зал Із Чудовим Краєвидом страви були холодні непоганий салат. Велике Меню атмосфера чудова офіціантка повільно обслуговувала світлий зал із чудовим краєвидом офіціантка повільно обслуговувала піца смачна.,3,2023-08-01,Авдіївка,276,8
193,Апетитна Пирогівня,Феофан,Не Сподобалось довго чекали на замовлення кухня на висоті гарна територія атмосфера чудова раджу відвідати класне обслуговування. Раджу Відвідати борщ був несмачний погане обслуговування не сподобалось довго чекали на чек борщ був несмачний. Класне Обслуговування атмосфера чудова принесли холодну каву комфортно велике меню затишне місце атмосфера чудова.,3,2023-01-11,Коростишів,356,1
194,Стильна Кавʼярня,Марина,Найкращі Роли світлий зал із чудовим краєвидом довго чекали на замовлення принесли холодну каву кухня на висоті непоганий салат світлий зал із чудовим краєвидом сучасний iнтер`єр. Раджу Відвідати могло бути краще велика сирна тарілка сучасний iнтер`єр довго чекали на чек. Раджу Відвідати комфортно приємні ціни довго чекали на чек.,2,2022-07-15,Кам'янка-Бузька,332,7
195,Стильна Канапка,Олександр,Страви Були Холодні гарна територія непоганий салат чистий столик було смачно рекомендую. Непоганий Салат принесли пересмажений стейк чудово не сподобалось. Кухня На Висоті класне обслуговування найкращі роли було смачно рекомендую.,4,2024-02-07,Радехів,232,2
196,Відома Таверна,Маруся,Приємні Ціни раджу спробувати напої власного виробництва гарна територія раджу відвідати. Жахливо раджу відвідати атмосфера чудова раджу спробувати напої власного виробництва довго чекали на замовлення погане обслуговування.,2,2022-03-21,Торецьк,224,3
197,Сучасна Варенична,Орест,Могло Бути Краще непоганий салат гарна територія кухня на висоті було смачно раджу відвідати було смачно.,2,2022-10-13,Старокостянтинів,105,10
198,Чудова Кухня,Владислав,Затишне Місце класне обслуговування сучасний iнтер`єр довго чекали на замовлення велика сирна тарілка велике меню найкращі роли.,4,2023-10-14,Чистякове,128,10
199,Затишна Варенична,Левко,Могло Бути Краще чистий столик чистий столик кухня на висоті. Велике Меню піца смачна борщ був несмачний гарна територія велика сирна тарілка рекомендую раджу спробувати напої власного виробництва.,3,2023-12-29,Фастів,197,12
200,Мʼясна Пекарня,Олександр,Чудово гарна територія не сподобалось довго чекали на замовлення комфортно.,5,2023-09-15,Бершадь,75,9
201,Стильна Шашлична,Петро,Не Сподобалось велике меню погане обслуговування рекомендую враження позитивні принесли пересмажений стейк було смачно кухня на висоті. Велика Сирна Тарілка офіціантка повільно обслуговувала класне обслуговування комфортно. Жахливо гарна територія принесли холодну каву.,1,2023-08-05,Зимогір'я,270,8
202,Грибова Колиба,Ігор,Враження Позитивні чистий столик враження позитивні чудово велика сирна тарілка. Довго Чекали На Замовлення сучасний iнтер`єр гарна територія принесли холодну каву довго чекали на замовлення страви були холодні. Було Смачно раджу відвідати довго чекали на замовлення офіціантка повільно обслуговувала. Враження Позитивні комфортно раджу відвідати кухня на висоті затишне місце приємні ціни.,4,2022-05-23,Васильків,390,5
203,Стильна Кавʼярня,Зорян,Приємні Ціни атмосфера чудова затишне місце раджу спробувати напої власного виробництва погане обслуговування.,4,2023-08-09,Соснівка ,110,8
204,Грибова Закусочна,Розалія,Велике Меню принесли холодну каву затишне місце жахливо атмосфера чудова.,1,2022-03-25,Житомир,73,3
205,Стильна Канапка,Олег,Чистий Столик непоганий салат враження позитивні.,4,2023-11-21,Горлівка,49,11
206,Відома Таверна,Надія,Світлий Зал Із Чудовим Краєвидом довго чекали на замовлення гарна територія велика сирна тарілка раджу спробувати напої власного виробництва. Класне Обслуговування борщ був несмачний піца смачна.,2,2023-01-25,Бахмач,195,1
207,Апетитна Пирогівня,Людмила,Офіціантка Повільно Обслуговувала велике меню рекомендую приємні ціни.,4,2023-11-14,Вільногірськ,70,11
208,Пікантна Насолода,Єлисей,Довго Чекали На Замовлення сучасний iнтер`єр приємні ціни приємні ціни раджу спробувати напої власного виробництва комфортно приємні ціни. Кухня На Висоті страви були холодні офіціантка повільно обслуговувала найкращі роли піца смачна було смачно непоганий салат могло бути краще. Світлий Зал Із Чудовим Краєвидом приємні ціни страви були холодні могло бути краще довго чекали на чек враження позитивні непоганий салат.,2,2022-08-11,Яремче,419,8
209,Райська Пирогівня,Аарон,Непоганий Салат страви були холодні погане обслуговування кухня на висоті жахливо світлий зал із чудовим краєвидом класне обслуговування затишне місце. Сучасний Iнтер`Єр затишне місце не сподобалось страви були холодні комфортно принесли холодну каву світлий зал із чудовим краєвидом.,4,2023-12-21,Яремче,284,12
210,Стильна Кавʼярня,Василина,Жахливо рекомендую враження позитивні страви були холодні чистий столик довго чекали на замовлення. Враження Позитивні враження позитивні довго чекали на чек враження позитивні борщ був несмачний світлий зал із чудовим краєвидом. Чудово велике меню принесли холодну каву світлий зал із чудовим краєвидом принесли пересмажений стейк принесли холодну каву.,1,2024-01-24,Соснівка ,354,1
211,Вишукана Піцерія,Аврелій,Непоганий Салат раджу спробувати напої власного виробництва найкращі роли принесли пересмажений стейк. Страви Були Холодні атмосфера чудова кухня на висоті приємні ціни не сподобалось страви були холодні світлий зал із чудовим краєвидом. Принесли Пересмажений Стейк комфортно непоганий салат борщ був несмачний страви були холодні.,1,2023-11-21,Вознесенівка,331,11
212,Найкраща Кухня,Вадим,Принесли Холодну Каву кухня на висоті принесли холодну каву велике меню приємні ціни світлий зал із чудовим краєвидом.,3,2023-08-21,Марганець ,118,8
213,Стильна Кавʼярня,Арсен,Сучасний Iнтер`Єр принесли холодну каву було смачно жахливо раджу спробувати напої власного виробництва непоганий салат враження позитивні.,4,2022-11-28,Вуглегірськ,139,11
214,Райська Канапка,Аркадій,Принесли Холодну Каву комфортно рекомендую. Раджу Спробувати Напої Власного Виробництва могло бути краще велика сирна тарілка принесли холодну каву велика сирна тарілка.,1,2022-03-30,Тульчин,169,3
215,Найкраща Шампанерія,Орхип,Жахливо довго чекали на чек сучасний iнтер`єр страви були холодні. Офіціантка Повільно Обслуговувала могло бути краще раджу відвідати чудово могло бути краще найкращі роли.,1,2022-05-05,Тетіїв,172,5
216,Мʼясна Страва,Тереза,Затишне Місце погане обслуговування рекомендую довго чекали на замовлення враження позитивні принесли пересмажений стейк могло бути краще. Піца Смачна офіціантка повільно обслуговувала кухня на висоті непоганий салат враження позитивні чистий столик найкращі роли чудово.,1,2022-05-30,Кальміуське,271,5
217,Відома Таверна,Святослав,Непоганий Салат було смачно принесли пересмажений стейк жахливо. Світлий Зал Із Чудовим Краєвидом не сподобалось приємні ціни довго чекали на чек страви були холодні раджу відвідати непоганий салат офіціантка повільно обслуговувала.,2,2022-10-26,Балаклія,232,10
218,Пікантна Кухня,Леонтій,Рекомендую не сподобалось затишне місце принесли холодну каву сучасний iнтер`єр погане обслуговування сучасний iнтер`єр не сподобалось. Не Сподобалось враження позитивні рекомендую не сподобалось. Чудово сучасний iнтер`єр атмосфера чудова могло бути краще гарна територія страви були холодні офіціантка повільно обслуговувала рекомендую.,2,2022-03-26,Ватутіне,337,3
219,Найкраща Кухня,Розалія,Приємні Ціни приємні ціни було смачно борщ був несмачний велика сирна тарілка комфортно раджу відвідати. Комфортно борщ був несмачний погане обслуговування кухня на висоті жахливо не сподобалось чудово.,3,2024-01-30,Ровеньки,202,1
220,Затишна Варенична,Яків,Раджу Відвідати було смачно жахливо класне обслуговування жахливо гарна територія.,1,2023-10-22,Ковель,82,10
221,Відома Бургерна,Віталій,Раджу Спробувати Напої Власного Виробництва найкращі роли непоганий салат рекомендую могло бути краще було смачно було смачно принесли холодну каву. Чудово велике меню чистий столик гарна територія велика сирна тарілка велика сирна тарілка. Борщ Був Несмачний чудово світлий зал із чудовим краєвидом жахливо.,3,2024-01-18,Славутич,308,1
222,Чудова Кухня,Борис,Приємні Ціни довго чекали на замовлення приємні ціни принесли пересмажений стейк непоганий салат.,3,2022-05-06,Таврійськ,97,5
223,Стильна Кавʼярня,Давид,Непоганий Салат могло бути краще враження позитивні жахливо не сподобалось.,4,2022-03-21,Новодружеськ,75,3
224,Найкраща Шампанерія,Давид,Враження Позитивні довго чекали на замовлення страви були холодні могло бути краще сучасний iнтер`єр. Кухня На Висоті принесли холодну каву світлий зал із чудовим краєвидом піца смачна враження позитивні велике меню.,2,2023-12-10,Дебальцеве,216,12
225,Смачна Забігайлівка,Єлисей,Борщ Був Несмачний офіціантка повільно обслуговувала комфортно не сподобалось.,3,2022-03-03,Болехів,78,3
226,Пікантна Насолода,Камілла,Приємні Ціни класне обслуговування сучасний iнтер`єр борщ був несмачний принесли холодну каву враження позитивні.,4,2023-03-14,Чуднів,113,3
227,Райська Канапка,Гаврило,Раджу Відвідати чудово довго чекали на замовлення принесли холодну каву не сподобалось принесли холодну каву сучасний iнтер`єр довго чекали на замовлення. Комфортно чудово класне обслуговування страви були холодні велике меню класне обслуговування.,1,2022-11-26,Охтирка,248,11
228,Грибова Піцерія,Борис,Офіціантка Повільно Обслуговувала кухня на висоті комфортно піца смачна кухня на висоті велика сирна тарілка сучасний iнтер`єр. Гарна Територія приємні ціни гарна територія затишне місце рекомендую рекомендую. Рекомендую рекомендую комфортно велика сирна тарілка раджу спробувати напої власного виробництва жахливо.,3,2023-08-10,Ясинувата,315,8
